REF,Company Name,CompanyLocation_Country,Review Date,Bean Origin,ChocolateName,Cocoa_Percent,No_of_ingredients,Rating
1502,Sirene,Canada,2015,Madagascar,"Somia Plantation, 2012",100,1,1.75
1506,Sirene,Canada,2015,Ecuador,"Camino Verde P., Balao, Guayas, 2012",100,1,1.75
1205,Habitual,Canada,2014,Blend,one hundred,100,1,1.75
266,Pacari,Ecuador,2008,Ecuador,Raw,100,1,1.75
341,Bouga Cacao (Tulicorp),Ecuador,2009,Ecuador,"El Oro, Hacienda de Oro",100,1,1.75
202,Pralus,France,2008,Madagascar,"Sambirano Valley, Le 100%",100,1,1.75
817,Coppeneur,Germany,2012,Ecuador,Ecuador Puristique,100,1,1.75
1185,C-Amaro,Italy,2013,Ecuador,Ecuador,100,1,1.75
1109,Domori,Italy,2013,Venezuela,"IL100, H. San Jose, batch NDL3A01",100,1,1.75
615,S.A.I.D.,Italy,2010,Blend,100 percent,100,1,1.75
1113,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara, 2012, 120hr c., batch 13092",100,1,1.75
1109,Willie's Cacao,U.K.,2013,Indonesia,"Java, Indonesian Black",100,1,1.75
1113,Hotel Chocolat,U.K.,2013,St. Lucia,"Island Growers, 2012, 120hr c., batch 13080",100,1,1.75
486,Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,100,1,1.75
915,TCHO,U.S.A.,2012,Blend,"Peru, Ecuador",99,1,1.75
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",100,1,1.75
2582,Odyssey,U.S.A.,2021,Blend,"Elegant Asian Blend"", Vietnam, India",100,1,1.75
259,Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,Pichincha,91,1,2.5
387,Guittard,U.S.A.,2009,Blend,Nocturne,91,1,2.5
188,Theo,U.S.A.,2007,Venezuela,"Venezuela; Barinos, Merida, Tachron",91,20,2.5
879,Zotter,Austria,2012,Bolivia,El Ceibo Coop,90,15,2.75
2570,Millesime,Belgium,2021,Tanzania,Kilombero Valley,90,1,2.75
1065,Hotel Chocolat (Coppeneur),U.K.,2013,Ecuador,"Los Rios, H. Iara",90,1,2.75
1788,Beehive,U.S.A.,2016,Ecuador,Ecuador,90,1,2.75
1211,Videri,U.S.A.,2014,Dominican Republic,Dominican Republic,90,1,2.75
1426,Kto,U.S.A.,2014,Belize,Belize,90,1,2.75
1117,Videri,U.S.A.,2013,Blend,"Dark, Central and S. America",90,1,2.75
153,Vintage Plantations (Tulicorp),U.S.A.,2007,Ecuador,"Los Rios, Rancho Grande 2004/2007",90,1,2.75
1772,Chocolate Alchemist-Philly,U.S.A.,2016,Peru,"Tumbes, ""Zarumilla""",90,1,2.75
1189,Marsatta,U.S.A.,2013,Dominican Republic,Dominican Republic,89,2,3
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50,2,3.25
552,Luker,Colombia,2010,Blend,"Selva, Colombia, Ecuador",46,2,3.25
296,Compania de Chocolate (Salgado),Argentina,2008,Ecuador,Esmeraldas,88,2,3.5
883,Zotter,Austria,2012,Blend,"Indianer, Raw",58,2,3.5
304,Dolfin (Belcolade),Belgium,2008,Blend,Africa,88,2,3.5
1069,Q Chocolate,Brazil,2013,Brazil,Brazil,55,2,3.5
1077,Soma,Canada,2013,Blend,"Crazy 88, Guat., D.R., Peru, Mad., PNG",88,2,3.5
552,Luker,Colombia,2010,Blend,"Misterio, Colombia, Ecuador",58,2,3.5
1327,Hacienda El Castillo,Ecuador,2014,Ecuador,Don Homero- Cerecita Valley,55,2,3.5
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55,2,3.5
269,Caoni (Tulicorp),Ecuador,2008,Ecuador,Esmeraldas,55,2,3.5
269,Caoni (Tulicorp),Ecuador,2008,Ecuador,Los Rios,55,2,3.5
266,Caoni (Tulicorp),Ecuador,2008,Ecuador,Manabi,55,2,3.5
486,Chchukululu (Tulicorp),Ecuador,2010,Ecuador,Arriba,55,2,3.5
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Arriba,58,2,3.5
414,Hoja Verde (Tulicorp),Ecuador,2009,Ecuador,Manabi,58,2,3.5
797,Bernachon,France,2012,Blend,Nature,55,2,3.5
709,Valrhona,France,2011,Blend,Caraque,56,2,3.5
1189,La Maison du Chocolat (Valrhona),France,2013,Ecuador,"Acarigua, w/ nibs",56,3,3.5
494,Felchlin,Switzerland,2010,Grenada,Grenada,58,3,3.5
636,Beschle (Felchlin),Switzerland,2011,Venezuela,Maracaibo,88,3,3.5
1227,Willie's Cacao,U.K.,2014,Colombia,Los Llanos,88,3,3.5
502,Malie Kai (Guittard),U.S.A.,2010,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate w/ nibs",55,3,3.5
666,Ethel's Artisan (Mars),U.S.A.,2011,Trinidad,Trinidad,55,3,3.5
666,Ethel's Artisan (Mars),U.S.A.,2011,Blend,"Peru, Madagascar",55,3,3.5
316,Guittard,U.S.A.,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua E., Kakoleka",55,3,3.5
311,Malie Kai (Guittard),U.S.A.,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate",55,3,3.5
1458,hello cocoa (now Markham & Fitz),U.S.A.,2015,Uganda,Uganda,57,3,3.5
907,Davis,U.S.A.,2012,Blend,West Africa,58,3,3.5
206,El Rey,Venezuela,2008,Venezuela,Carenero Superior,58,3,3.5
975,Cravve,Australia,2012,Vanuatu,"Vanuatu, batch 2410",64,3,3.75
1335,Cravve,Australia,2014,Vanuatu,"Vanuatu, batch 2410",83,3,3.75
1824,Zart Pralinen,Australia,2016,Tanzania,Kokoa Kamili,85,3,3.75
781,Zotter,Austria,2011,India,Kerala State,62,3,3.75
875,Zotter,Austria,2012,Dominican Republic,"Loma Los Pinos, Yacao region, D.R.",62,3,3.75
1836,Martin Mayer,Austria,2016,Haiti,Pisa,82,3,3.75
1824,Zart Pralinen,Austria,2016,Trinidad,San Juan Estate,85,3,3.75
1351,Frederic Blondeel,Belgium,2014,Ghana,Ghana,60,3,3.75
296,Callebaut,Belgium,2008,Grenada,Grenade,60,3,3.75
586,Belcolade,Belgium,2010,Papua New Guinea,Papua New Guinea,64,3,3.75
586,Belcolade,Belgium,2010,Costa Rica,Costa Rica,64,3,3.75
586,Belcolade,Belgium,2010,Peru,Peru,64,3,3.75
166,Pierre Marcolini,Belgium,2007,Blend,"Fleur de Cacao, Venezuela/ Ghana",85,3,3.75
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85,3,3.75
1057,Q Chocolate,Brazil,2013,Brazil,Brazil,85,3,3.75
1820,Soma,Canada,2016,Dominican Republic,"Oko Caribe, Duarte P., Collab w Chocosol",62,3,3.75
2680,Soma,Canada,2021,Blend,Dream Machine (Mad./Dom.Rep./Ecuador),62,3,3.75
1498,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,63,4,3.75
676,Soma,Canada,2011,Peru,Peruvian,64,4,3.75
1494,Ambrosia,Canada,2015,Belize,Belize,64,4,3.75
688,Olivia,Canada,2011,Blend,Carribean,85,4,3.75
983,Soma,Canada,2012,Papua New Guinea,Papua New Guinea,85,4,3.75
688,Olivia,Canada,2011,Blend,Carribean-Raw,85,4,3.75
552,Luker,Colombia,2010,Blend,"Macondo, Colombia, Ecuador",60,4,3.75
1430,Cacao Hunters,Colombia,2014,Colombia,Sierra Nevada,64,4,3.75
1680,Friis Holm (Bonnat),Denmark,2015,Nicaragua,La Dalia,60,4,3.75
